10	-1.83664889363859E7
20	-1.678757881926587E7
10	-1.6412066892545298E7
20	-1.6234487972294461E7
30	-1.612700813546484E7
40	-1.6053255804663656E7
50	-1.5993201087581037E7
60	-1.5951182579953158E7
70	-1.5914360781466668E7
80	-1.588528224303114E7
90	-1.5862148129531693E7
100	-1.58392179703413E7
110	-1.5819105531074816E7
120	-1.5799795376169998E7
130	-1.5786296869868098E7
140	-1.5775492284733543E7
150	-1.576672299674784E7
160	-1.5755888047168298E7
170	-1.5742476346588613E7
180	-1.5731670152170232E7
190	-1.5723578579468247E7
200	-1.5716364055113332E7
