10	-1.82540652499578E7
20	-1.6718993762708822E7
10	-1.633992241000537E7
20	-1.616316266222039E7
30	-1.6056387124183444E7
40	-1.5984223269099806E7
50	-1.592490510120455E7
60	-1.5879537572303677E7
70	-1.5845475520515533E7
80	-1.5819719048690705E7
90	-1.5792894602679605E7
100	-1.577483746479687E7
110	-1.5757435720059901E7
120	-1.5738286642863806E7
130	-1.5724861060927853E7
140	-1.5709915093439337E7
150	-1.5696907133173158E7
160	-1.5684525198345385E7
170	-1.5675993384669585E7
180	-1.5669752363557836E7
190	-1.5660548158009816E7
200	-1.5654054006223617E7
